trade_no,symbol,event,date,sim_price,yf_open,yf_high,yf_low,yf_close,status,detail
1,BANDHANBNK,ENTRY,2025-05-05,160.54,160.54339456851753,164.39817963152962,159.8497343619328,162.91175842285156,PASS,entry=160.54 vs yf_open=160.54 (0.00% off)
1,BANDHANBNK,PARTIAL,2025-06-09,184.62,173.71309417007703,185.7630190102997,173.39598372239087,184.55406188964844,PASS,"partial=184.62, yf_high=185.76 (reachable)"
1,BANDHANBNK,EXIT (trailing_stop),2025-06-13,170.94,170.9384442567762,175.28870318984693,170.9384442567762,173.60409545898438,PASS,"stop=170.94, yf_low=170.94 (low <= stop, stop fired)"
2,MANAPPURAM,ENTRY,2025-05-05,229.74,229.74363878918973,230.8632809985911,227.09812575252474,227.86106872558594,PASS,entry=229.74 vs yf_open=229.74 (0.00% off)
2,MANAPPURAM,PARTIAL,2025-06-09,264.21,249.21342139207775,264.88236455484514,248.31976228779462,262.9162902832031,PASS,"partial=264.21, yf_high=264.88 (reachable)"
2,MANAPPURAM,EXIT (trailing_stop),2025-06-17,268.75,275.45741243494206,276.8177646394308,267.0172409386435,268.0201416015625,PASS,"stop=268.75, yf_low=267.02 (low <= stop, stop fired)"
3,INFY,ENTRY,2025-06-09,1554.21,1554.2069160448225,1564.0561360451065,1547.3124620446238,1549.183837890625,PASS,entry=1554.21 vs yf_open=1554.21 (0.00% off)
3,INFY,EXIT (hard_stop),2025-08-01,1445.41,1471.3749358302919,1476.1024890867666,1443.4031282013243,1447.4412841796875,PASS,"stop=1445.41, yf_low=1443.40 (low <= stop, stop fired)"
4,PAGEIND,ENTRY,2025-08-01,47645.7,47645.695089691035,47645.695089691035,46027.31529387417,46334.1640625,PASS,entry=47645.70 vs yf_open=47645.70 (0.00% off)
4,PAGEIND,EXIT (hard_stop),2025-08-08,44310.5,45032.533412738216,45032.533412738216,43374.560152680264,44408.9375,PASS,"stop=44310.50, yf_low=43374.56 (low <= stop, stop fired)"
5,RADICO,ENTRY,2025-06-09,2649.76,2649.7572376239077,2652.053711806738,2617.2043504016806,2646.162353515625,PASS,entry=2649.76 vs yf_open=2649.76 (0.00% off)
5,RADICO,PARTIAL,2025-09-19,3047.22,3016.89990234375,3067.0,3003.0,3052.5,PASS,"partial=3047.22, yf_high=3067.00 (reachable)"
5,RADICO,EXIT (trailing_stop),2025-10-24,3251.85,3290.89990234375,3326.89990234375,3208.10009765625,3220.0,PASS,"stop=3251.85, yf_low=3208.10 (low <= stop, stop fired)"
6,BAJFINANCE,ENTRY,2025-05-05,882.31,882.3057617507878,897.7603872927656,881.1627900057229,887.7223510742188,PASS,entry=882.31 vs yf_open=882.31 (0.00% off)
6,BAJFINANCE,PARTIAL,2025-09-15,1014.65,999.0,1025.699951171875,998.0999755859375,1009.8499755859375,PASS,"partial=1014.65, yf_high=1025.70 (reachable)"
6,BAJFINANCE,EXIT (trailing_stop),2025-10-30,1047.38,1063.0,1066.800048828125,1045.0,1052.300048828125,PASS,"stop=1047.38, yf_low=1045.00 (low <= stop, stop fired)"
7,RELIANCE,ENTRY,2025-05-05,1425.31,1425.3074680112338,1433.773654928142,1421.2238021682567,1425.6063232421875,PASS,entry=1425.31 vs yf_open=1425.31 (0.00% off)
7,RELIANCE,EXIT (open_at_end),2025-10-31,1486.4,1490.4000244140625,1497.5,1482.300048828125,1486.4000244140625,PASS,close=1486.40 vs yf_close=1486.40 (0.00% off)
8,HDFCBANK,ENTRY,2025-05-05,956.57,956.5700467268101,962.9833580251333,953.2647488384409,955.4847412109375,PASS,entry=956.57 vs yf_open=956.57 (0.00% off)
8,HDFCBANK,EXIT (open_at_end),2025-10-31,987.3,994.0,1004.4500122070312,981.1500244140625,987.2999877929688,PASS,close=987.30 vs yf_close=987.30 (0.00% off)
9,BHARTIARTL,ENTRY,2025-05-05,1852.51,1852.5132040042204,1857.9676058361385,1833.869018409988,1850.52978515625,PASS,entry=1852.51 vs yf_open=1852.51 (0.00% off)
9,BHARTIARTL,EXIT (open_at_end),2025-10-31,2054.5,2056.0,2073.800048828125,2051.699951171875,2054.5,PASS,close=2054.50 vs yf_close=2054.50 (0.00% off)
10,MARUTI,ENTRY,2025-05-05,12356.26,12356.263806546245,12356.263806546245,12229.634361611264,12324.6064453125,PASS,entry=12356.26 vs yf_open=12356.26 (0.00% off)
10,MARUTI,PARTIAL,2025-08-19,14209.7,14070.0,14270.0,13979.0,14250.0,PASS,"partial=14209.70, yf_high=14270.00 (reachable)"
